"header","col","description"
"ageofmother20-29","mother_age_20_29","Age of Mother  20-29"
"ageofmother29-29","mother_age_20_29","Age of Mother  29-29"
"mother'sageatdelivery20-29","mother_age_20_29","Mother's Age at Delivery 20-29"
"ageofmother30-34","mother_age_30_34","Age of Mother  30-34"
"mother'sageatdelivery30-34","mother_age_30_34","Mother's Age at Delivery 30-34"
"ageofmother35+","mother_age_gt35","Age of Mother  35+"
"mother'sageatdelivery35+","mother_age_gt35","Mother's Age at Delivery 35+"
"ageofmother<20","mother_age_lt20","Age of Mother  <20"
"ageofmotherunder20","mother_age_lt20","AGE OF MOTHER Under 20   "
"ageofmotherunder20.0","mother_age_lt20","AGE OF MOTHER Under 20.0"
"mother'sageatdeliveryunder20","mother_age_lt20","Mother's Age at Delivery UNDER 20"
"ageofmother<29","mother_age_lt20","Age of Mother  < 20"
"ageofmotherageunk","mother_age_unk","Age of Mother Age Unk"
"mother'sageatdeliveryunk","mother_age_unk","Mother's Age at Delivery UNK"
"mother'srace/ethnicityamerind","mother_race_amind","Mother's Race/Ethnicity AMER IND"
"race/ethnicgroupofmother1amer.ind.","mother_race_amind","RACE/ETHNIC GROUP OF MOTHER1 Amer. Ind."
"race/ethnicgroupofmother1amerind.","mother_race_amind","RACE/ETHNIC GROUP OF MOTHER1 Amer Ind."
"race/ethnicgroupofmother1nativeamer.","mother_race_amind","RACE/ETHNIC GROUP OF MOTHER1 Native Amer."
"race/ethnicgroupofmotheramer.ind.","mother_race_amind","RACE/ETHNIC GROUP OF MOTHER Amer. Ind."
"race/ethnicityofmotheramer.ind.","mother_race_amind","Race/Ethnicity of Mother Amer. Ind."
"mother'srace/ethnicityasian","mother_race_asian","Mother's Race/Ethnicity ASIAN"
"race/ethnicgroupofmother1asian","mother_race_asian","RACE/ETHNIC GROUP OF MOTHER1  Asian"
"race/ethnicgroupofmotherasian","mother_race_asian","RACE/ETHNIC GROUP OF MOTHER  Asian"
"race/ethnicityofmotherasian","mother_race_asian","Race/Ethnicity of Mother Asian "
"race/ethnicityofmotherasianp.i.","mother_race_asianpi","Race/Ethnicity of Mother Asian P.I."
"mother'srace/ethnicityblack","mother_race_black","Mother's Race/Ethnicity BLACK"
"race/ethnicgroupofmother1black","mother_race_black","RACE/ETHNIC GROUP OF MOTHER1  Black"
"race/ethnicgroupofmotherblack","mother_race_black","RACE/ETHNIC GROUP OF MOTHER  Black"
"race/ethnicityofmotherblack","mother_race_black","Race/Ethnicity of Mother  Black"
"mother'srace/ethnicityfilipino","mother_race_filipino","Mother's Race/Ethnicity FILIPINO"
"race/ethnicgroupofmother1filipino","mother_race_filipino","RACE/ETHNIC GROUP OF MOTHER1  Filipino"
"race/ethnicgroupofmotherfilipino","mother_race_filipino","RACE/ETHNIC GROUP OF MOTHER  Filipino"
"race/ethnicityofmotherfilipino","mother_race_filipino","Race/Ethnicity of Mother  Filipino"
"mother'srace/ethnicityhispanic","mother_race_hisp","Mother's Race/Ethnicity HISPANIC"
"race/ethnicgroupofmother1hispanic","mother_race_hisp","RACE/ETHNIC GROUP OF MOTHER1  Hispanic"
"race/ethnicgroupofmotherhispanic","mother_race_hisp","RACE/ETHNIC GROUP OF MOTHER  Hispanic"
"race/ethnicityofmotherhispanic","mother_race_hisp","Race/Ethnicity of Mother  Hispanic"
"mother'srace/ethnicityhawaiian/pac.isl","mother_race_hpi","Mother's Race/Ethnicity HAWAIIAN/ PAC.ISL"
"race/ethnicgroupofmother1hawaii/pac.isl.","mother_race_hpi","RACE/ETHNIC GROUP OF MOTHER1 Hawaii/ Pac.Isl."
"race/ethnicgroupofmother1hawaiipac.isl","mother_race_hpi","RACE/ETHNIC GROUP OF MOTHER1 Hawaii Pac.Isl"
