table,seq,column,is_pk,is_fk,type,size,description,id
facilities,1,id,1,,INTEGER,,Table generated from https://cdph.data.ca.gov/api/views/89gy-3cst/rows.csv?accessType=DOWNLOAD,t03s01
facilities,2,facid,,,VARCHAR,9,"FACID is the primary key from the FACILITY table used to track facility information for all facilities stored in the Electronic Licensing Management System (ELMS) for CDPH Center of Healthcare Quality, Licensing and Certification Program.",c03s01002
facilities,3,name,,,VARCHAR,75,"NAME is the facility name in the FACILITY table in ELMS, obtained from the Facility's license application form.",c03s01003
facilities,4,address,,,VARCHAR,40,"ADDRESS is the same as FAC_ADDRESS1 in  the FACILITY table in ELMS, obtained from the Facility's license application form.",c03s01004
facilities,5,city,,,VARCHAR,20,"CITY is the same as FAC_CITY in the FACILITY table in ELMS, obtained from the Facility's license application form.",c03s01005
facilities,6,county,,,VARCHAR,15,"COUNTY is the name of the County where the facility is located, derived from COUNTY_CODE in the FACILITY table in ELMS, obtained from the Facility's license application form.",c03s01006
facilities,7,zip,,,INTEGER,5,"ZIP is the same as FAC_ZIP5 in the FACILITY table in ELMS, obtained from the Facility's license application form.",c03s01007
facilities,8,type,,,VARCHAR,66,"TYPE is the same as DESCRIPTION in the FAC_TYPE table in ELMS.  Values: Specific categories of healthcare facilities ( General Acute Care Hospital, Acute Psychiatric Hospital, Skilled Nursing Facility, Community Clinic,  Surgical Clinic, Intermediate Care Facility, Intermediate Care Facility/Developmentally Disabled,  Intermediate Care Facility/Developmentally Disabled - Habilitative, Intermediate Care Facility/Developmentally Disabled - Nursing,  Hospice Facility, Rehabilitation Clinic, Pediatric Day Health & Respite Care Facility, Home Health Agency,  Adult Day Health Care, Alternative Birthing Center, Chemical Dependency Recovery Hospital, Chronic Dialysis Clinic, Hospice,  Free Clinic, Correctional Treatment Center, Congregate Living Health Facility)",c03s01008
facilities,9,capacity,,,VARCHAR,4,"CAPACITY  is the same as TOTAL_CAPACITY in the FACILITY table in ELMS, referring to the number of licensed beds, and obtained from the Facility's license application form.",c03s01009
facilities,10,latitude,,,REAL,,"Latitude in decimal degrees (WGS 1984 Web Mercator Auxiliary Sphere; WKID 102100 or EPSG 3857). Geocoded with CDPH geocoding service (Esri: StreetMap Premium, Tom Tom data).",c03s0100a
facilities,11,longitude,,,REAL,,"Latitude in decimal degrees (WGS 1984 Web Mercator Auxiliary Sphere; WKID 102100 or EPSG 3857). Geocoded with CDPH geocoding service (Esri: StreetMap Premium, Tom Tom data).",c03s0100b
facilities,12,location,,,VARCHAR,24,Latitude and longitude combined by Socrata for mapping,c03s0100c
