table,seq,column,is_pk,is_fk,id,type,size,width,description
nurse,1,id,1,,t03901,INTEGER,,,
nurse,2,objectid,,,c03901002,INTEGER,2,9,
nurse,3,num,,,c03901003,INTEGER,2,4,
nurse,4,cnty_code,,,c03901004,VARCHAR,2,2,
nurse,5,cnty_fips,,,c03901005,VARCHAR,3,3,
nurse,6,county,,,c03901006,VARCHAR,14,20,
nurse,7,totalpop,,,c03901007,INTEGER,7,9,
nurse,8,gac_bd,,,c03901008,INTEGER,7,9,
nurse,9,ltc_bd,,,c03901009,INTEGER,8,9,
nurse,10,brncount,,,c0390100a,INTEGER,5,9,
nurse,11,ratio,,,c0390100b,REAL,,19,
nurse,12,designated,,,c0390100c,INTEGER,1,4,
nurse,13,designate2,,,c0390100d,VARCHAR,3,5,
nurse,14,area_sqmi,,,c0390100e,REAL,,19,
nurse,15,shape_leng,,,c0390100f,REAL,,19,
nurse,16,shape_area,,,c0390100g,REAL,,19,
nurse,17,geometry,,,c0390100h,MULTIPOLYGON,,,
,,,,,,,,,
dental,1,id,1,,t03902,INTEGER,,,
dental,2,objectid,,,c03902002,INTEGER,2,9,
dental,3,cnty_fips,,,c03902003,VARCHAR,3,3,
dental,4,county,,,c03902004,VARCHAR,15,20,
dental,5,mssa_id,,,c03902005,VARCHAR,7,10,
dental,6,mssa_name,,,c03902006,VARCHAR,120,160,
dental,7,definition,,,c03902007,VARCHAR,8,10,
dental,8,name,,,c03902008,VARCHAR,50,254,
dental,9,type,,,c03902009,VARCHAR,11,15,
dental,10,designatio,,,c0390200a,VARCHAR,10,15,
dental,11,hpsaid,,,c0390200b,VARCHAR,10,15,
dental,12,fte,,,c0390200c,VARCHAR,3,15,
dental,13,score,,,c0390200d,INTEGER,2,9,
dental,14,hpsa_pover,,,c0390200e,REAL,,19,
dental,15,hpsa_short,,,c0390200f,REAL,,19,
dental,16,hpsa_ratio,,,c0390200g,VARCHAR,8,50,
dental,17,pop,,,c0390200h,REAL,,19,
dental,18,pop100pov,,,c0390200i,REAL,,19,
dental,19,pop200pov,,,c0390200j,REAL,,19,
dental,20,subtype_1,,,c0390200k,VARCHAR,17,100,
dental,21,designat_1,,,c0390200l,VARCHAR,10,10,
dental,22,last_updat,,,c0390200m,VARCHAR,10,10,
dental,23,poverty_un,,,c0390200n,INTEGER,6,9,
dental,24,shape_leng,,,c0390200o,REAL,,19,
dental,25,shape_area,,,c0390200p,REAL,,19,
dental,26,geometry,,,c0390200q,MULTIPOLYGON,,,
,,,,,,,,,
primarypro,1,id,1,,t03903,INTEGER,,,
primarypro,2,objectid,,,c03903002,INTEGER,3,9,
primarypro,3,cnty_fips,,,c03903003,VARCHAR,3,3,
primarypro,4,county,,,c03903004,VARCHAR,14,20,
primarypro,5,mssa_id,,,c03903005,VARCHAR,8,10,
primarypro,6,mssa_name,,,c03903006,VARCHAR,153,160,
primarypro,7,definition,,,c03903007,VARCHAR,8,10,
