table,column,key,value,description
pdd_puf,typ_care,0,Invalid/Blank,
pdd_puf,typ_care,1,Acute Care,
pdd_puf,typ_care,3,Skilled Nursing/IC,
pdd_puf,typ_care,4,Psychiatric Care,
pdd_puf,typ_care,5,Chemical Dependency Recovery Care,
pdd_puf,typ_care,6,Physical Rehabilitation Care,
pdd_puf,typ_care,*,*,
pdd_puf,adm_type,0,Invalid/Blank,
pdd_puf,adm_type,1,Scheduled,
pdd_puf,adm_type,2,Unscheduled,
pdd_puf,adm_type,3,Infant (under 24 hrs),
pdd_puf,adm_type,4,Unknown,
pdd_puf,adm_type,*,*,
pdd_puf,disp,0,Invalid/Blank,
pdd_puf,disp,1,Routine (home),
pdd_puf,disp,2,Acute Care within admitting hospital,
pdd_puf,disp,3,Other Care within admitting hospital,
pdd_puf,disp,4,Skilled Nursing/IC within admitting hospital,
pdd_puf,disp,5,Acute Care at another hospital,
pdd_puf,disp,6,Other Care (not SN/IC) at another facility,
pdd_puf,disp,7,Skilled Nursing/IC at another facility,
pdd_puf,disp,8,Residential Care Facility,
pdd_puf,disp,9,Prison/Jail,
pdd_puf,disp,10,Left Against Medical Advice,
pdd_puf,disp,11,Died,
pdd_puf,disp,12,Home Health Service,
pdd_puf,disp,13,Other,
pdd_puf,disp,*,*,
pdd_puf,pay_cat,0,Invalid/Blank,
pdd_puf,pay_cat,1,Medicare,
pdd_puf,pay_cat,2,Medi-Cal,
pdd_puf,pay_cat,3,Private Coverage,
pdd_puf,pay_cat,4,Workers' Compensation,
pdd_puf,pay_cat,5,County Indigent Program,
pdd_puf,pay_cat,6,Other Government,
pdd_puf,pay_cat,7,Other Indigent,
pdd_puf,pay_cat,8,Self Pay,
pdd_puf,pay_cat,9,Other Payer,
pdd_puf,pay_cat,*,*,
pdd_puf,pay_type,0,Not applicable,
pdd_puf,pay_type,1,"Managed Care, Knox-Keene/MCOHS",
pdd_puf,pay_type,2,Managed Care Other,
pdd_puf,pay_type,3,Traditional Coverage,
pdd_puf,pay_type,*,*,
pdd_puf,epoa_p,0,Invalid/blank,
pdd_puf,epoa_p,*,*,
pdd_puf,epoa_p,E,Exempt from POA reporting,
pdd_puf,epoa_p,N,Not Present at Admission,
pdd_puf,epoa_p,NN,None,
pdd_puf,epoa_p,U,Unknown,
pdd_puf,epoa_p,W,Clinically undetermined,
pdd_puf,epoa_p,Y,Present at Admission,
pdd_puf,epoa1,0,Invalid/blank,
pdd_puf,epoa1,*,*,
pdd_puf,epoa1,E,Exempt from POA reporting,
pdd_puf,epoa1,N,Not Present at Admission,
pdd_puf,epoa1,NN,None,
pdd_puf,epoa1,U,Unknown,
pdd_puf,epoa1,W,Clinically undetermined,
pdd_puf,epoa1,Y,Present at Admission,
pdd_puf,epoa2,0,Invalid/blank,
pdd_puf,epoa2,*,*,
pdd_puf,epoa2,E,Exempt from POA reporting,
pdd_puf,epoa2,N,Not Present at Admission,
pdd_puf,epoa2,NN,None,
pdd_puf,epoa2,U,Unknown,
pdd_puf,epoa2,W,Clinically undetermined,
pdd_puf,epoa2,Y,Present at Admission,
pdd_puf,epoa3,0,Invalid/blank,
pdd_puf,epoa3,*,*,
pdd_puf,epoa3,E,Exempt from POA reporting,
pdd_puf,epoa3,N,Not Present at Admission,
pdd_puf,epoa3,NN,None,
pdd_puf,epoa3,U,Unknown,
pdd_puf,epoa3,W,Clinically undetermined,
pdd_puf,epoa3,Y,Present at Admission,
pdd_puf,epoa4,0,Invalid/blank,
pdd_puf,epoa4,*,*,
pdd_puf,epoa4,E,Exempt from POA reporting,
pdd_puf,epoa4,N,Not Present at Admission,
pdd_puf,epoa4,NN,None,
pdd_puf,epoa4,U,Unknown,
pdd_puf,epoa4,W,Clinically undetermined,
pdd_puf,epoa4,Y,Present at Admission,
pdd_puf,poa_p,0,Invalid/blank,
pdd_puf,poa_p,*,*,
pdd_puf,poa_p,E,Exempt from POA reporting,
pdd_puf,poa_p,N,Not Present at Admission,
pdd_puf,poa_p,U,Unknown,
pdd_puf,poa_p,W,Clinically undetermined,
pdd_puf,poa_p,Y,Present at Admission,
pdd_puf,opoa1,0,Invalid/blank,
pdd_puf,opoa1,4,None,
pdd_puf,opoa1,*,*,
pdd_puf,opoa1,E,Exempt from POA reporting,
pdd_puf,opoa1,N,Not Present at Admission,
pdd_puf,opoa1,U,Unknown,
pdd_puf,opoa1,W,Clinically undetermined,
pdd_puf,opoa1,Y,Present at Admission,
pdd_puf,opoa2,0,Invalid/blank,
pdd_puf,opoa2,3,None,
pdd_puf,opoa2,*,*,
pdd_puf,opoa2,E,Exempt from POA reporting,
pdd_puf,opoa2,N,Not Present at Admission,
pdd_puf,opoa2,U,Unknown,
pdd_puf,opoa2,W,Clinically undetermined,
pdd_puf,opoa2,Y,Present at Admission,
pdd_puf,opoa3,0,Invalid/blank,
pdd_puf,opoa3,2,None,
pdd_puf,opoa3,*,*,
pdd_puf,opoa3,E,Exempt from POA reporting,
pdd_puf,opoa3,N,Not Present at Admission,
pdd_puf,opoa3,U,Unknown,
pdd_puf,opoa3,W,Clinically undetermined,
pdd_puf,opoa3,Y,Present at Admission,
