table,seq,column,is_pk,is_fk,type,size,description,proto_vid,id
pqi,1,id,1,,INTEGER,,id,,t03r01
pqi,4,year,,,INTEGER,4,year,,c03r01004
pqi,5,county,,,VARCHAR,15,county,,c03r01005
pqi,6,pqi_1_cases,,,INTEGER,5,PQI #1 # Cases,,c03r01006
pqi,7,pqi_1_population,,,INTEGER,8,PQI #1 Population,,c03r01007
pqi,8,pqi_1_observed_rate,,,REAL,,PQI #1 Observed Rate,,c03r01008
pqi,9,pqi_1_risk_adjusted_rate,,,REAL,,PQI #1 Risk-Adjusted Rate,,c03r01009
pqi,10,pqi_2_cases,,,INTEGER,4,PQI #2 # Cases,,c03r0100a
pqi,11,pqi_2_population,,,INTEGER,5,PQI #2 Population,,c03r0100b
pqi,12,pqi_2_observed_rate,,,REAL,,PQI #2 Observed Rate,,c03r0100c
pqi,13,pqi_2_risk_adjusted_rate,,,REAL,,PQI #2 Risk-Adjusted Rate,,c03r0100d
pqi,14,pqi_3_cases,,,INTEGER,5,PQI #3 # Cases,,c03r0100e
pqi,15,pqi_3_population,,,INTEGER,8,PQI #3 Population,,c03r0100f
pqi,16,pqi_3_observed_rate,,,REAL,,PQI #3 Observed Rate,,c03r0100g
pqi,17,pqi_3_risk_adjusted_rate,,,REAL,,PQI #3 Risk-Adjusted Rate,,c03r0100h
pqi,18,pqi_5_cases,,,INTEGER,5,PQI #5 # Cases,,c03r0100i
pqi,19,pqi_5_population,,,INTEGER,8,PQI #5 Population,,c03r0100j
pqi,20,pqi_5_observed_rate,,,REAL,,PQI #5 Observed Rate,,c03r0100k
pqi,21,pqi_5_risk_adjusted_rate,,,REAL,,PQI #5 Risk-Adjusted Rate,,c03r0100l
pqi,22,pqi_7_cases,,,INTEGER,4,PQI #7 # Cases,,c03r0100m
pqi,23,pqi_7_population,,,INTEGER,8,PQI #7 Population,,c03r0100n
pqi,24,pqi_7_observed_rate,,,REAL,,PQI #7 Observed Rate,,c03r0100o
pqi,25,pqi_7_risk_adjusted_rate,,,REAL,,PQI #7 Risk-Adjusted Rate,,c03r0100p
pqi,26,pqi_8_cases,,,INTEGER,5,PQI #8 # Cases,,c03r0100q
pqi,27,pqi_8_population,,,INTEGER,8,PQI #8 Population,,c03r0100r
pqi,28,pqi_8_observed_rate,,,REAL,,PQI #8 Observed Rate,,c03r0100s
pqi,29,pqi_8_risk_adjusted_rate,,,REAL,,PQI #8 Risk-Adjusted Rate,,c03r0100t
pqi,30,pqi_10_cases,,,INTEGER,5,PQI #10 # Cases,,c03r0100u
pqi,31,pqi_10_population,,,INTEGER,8,PQI #10 Population,,c03r0100v
pqi,32,pqi_10_observed_rate,,,REAL,,PQI #10 Observed Rate,,c03r0100w
pqi,33,pqi_10_risk_adjusted_rate,,,REAL,,PQI #10 Risk-Adjusted Rate,,c03r0100x
pqi,34,pqi_11_cases,,,INTEGER,5,PQI #11 # Cases,,c03r0100y
pqi,35,pqi_11_population,,,INTEGER,8,PQI #11 Population,,c03r0100z
pqi,36,pqi_11_observed_rate,,,REAL,,PQI #11 Observed Rate,,c03r0100A
pqi,37,pqi_11_risk_adjusted_rate,,,REAL,,PQI #11 Risk-Adjusted Rate,,c03r0100B
pqi,38,pqi_12_cases,,,INTEGER,5,PQI #12 # Cases,,c03r0100C
pqi,39,pqi_12_population,,,INTEGER,8,PQI #12 Population,,c03r0100D
pqi,40,pqi_12_observed_rate,,,REAL,,PQI #12 Observed Rate,,c03r0100E
pqi,41,pqi_12_risk_adjusted_rate,,,REAL,,PQI #12 Risk-Adjusted Rate,,c03r0100F
pqi,42,pqi_13_cases,,,INTEGER,4,PQI #13 # Cases,,c03r0100G
pqi,43,pqi_13_population,,,INTEGER,8,PQI #13 Population,,c03r0100H
pqi,44,pqi_13_observed_rate,,,REAL,,PQI #13 Observed Rate,,c03r0100I
pqi,45,pqi_13_risk_adjusted_rate,,,REAL,,PQI #13 Risk-Adjusted Rate,,c03r0100J
pqi,46,pqi_14_cases,,,INTEGER,4,PQI #14 # Cases,,c03r0100K
pqi,47,pqi_14_population,,,INTEGER,8,PQI #14 Population,,c03r0100L
pqi,48,pqi_14_observed_rate,,,REAL,,PQI #14 Observed Rate,,c03r0100M
pqi,49,pqi_14_risk_adjusted_rate,,,REAL,,PQI #14 Risk-Adjusted Rate,,c03r0100N
pqi,50,pqi_15_cases,,,INTEGER,4,PQI #15 # Cases,,c03r0100O
pqi,51,pqi_15_population,,,INTEGER,8,PQI #15 Population,,c03r0100P
pqi,52,pqi_15_observed_rate,,,REAL,,PQI #15 Observed Rate,,c03r0100Q
pqi,53,pqi_15_risk_adjusted_rate,,,REAL,,PQI #15 Risk-Adjusted Rate,,c03r0100R
pqi,54,pqi_16_cases,,,INTEGER,4,PQI #16 # Cases,,c03r0100S
pqi,55,pqi_16_population,,,INTEGER,8,PQI #16 Population,,c03r0100T
pqi,56,pqi_16_observed_rate,,,REAL,,PQI #16 Observed Rate,,c03r0100U
pqi,57,pqi_16_risk_adjusted_rate,,,REAL,,PQI #16 Risk-Adjusted Rate,,c03r0100V
pqi,58,pqi_90_cases,,,INTEGER,6,PQI #90 # Cases,,c03r0100W
pqi,59,pqi_90_population,,,INTEGER,8,PQI #90 Population,,c03r0100X
pqi,60,pqi_90_observed_rate,,,REAL,,PQI #90 Observed Rate,,c03r0100Y
pqi,61,pqi_90_risk_adjusted_rate,,,REAL,,PQI #90 Risk-Adjusted Rate,,c03r0100Z
pqi,62,pqi_91_cases,,,INTEGER,6,PQI #91 # Cases,,c03r01010
pqi,63,pqi_91_population,,,INTEGER,8,PQI #91 Population,,c03r01011
pqi,64,pqi_91_observed_rate,,,REAL,,PQI #91 Observed Rate,,c03r01012
pqi,65,pqi_91_risk_adjusted_rate,,,REAL,,PQI #91 Risk-Adjusted Rate,,c03r01013
pqi,66,pqi_92_cases,,,INTEGER,6,PQI #92 # Cases,,c03r01014
pqi,67,pqi_92_population,,,INTEGER,8,PQI #92 Population,,c03r01015
pqi,68,pqi_92_observed_rate,,,REAL,,PQI #92 Observed Rate,,c03r01016
pqi,69,pqi_92_risk_adjusted_rate,,,REAL,,PQI #92 Risk-Adjusted Rate,,c03r01017
pqi,70,gvid,,c03x04003,VARCHAR,6,GVid reference to county,c00104002,c03r01018
