id,year,county,psi_21_cases,psi_21_population,psi_21_rate,psi_22_cases,psi_22_population,psi_22_rate,psi_23_cases,psi_23_population,psi_23_rate,psi_24_cases,psi_24_population,psi_24_rate,psi_25_cases,psi_25_population,psi_25_rate,psi_26_cases,psi_26_population,psi_26_rate,psi_27_cases,psi_27_population,psi_27_rate,gvid
1,2005,STATEWIDE,334,26447738,1.3,1621,26447738,6.1,6024,26447738,22.8,432,26447738,1.6,9000,26447738,34.0,19,26447738,0.1,9500,26447738,35.9,
2,2006,STATEWIDE,352,26679904,1.3,1570,26679904,5.9,5790,26679905,21.7,425,26679904,1.6,9181,26679904,34.4,20,26679904,0.1,9557,26679905,35.8,
3,2007,STATEWIDE,369,26935982,1.4,1626,26935981,6.0,5295,26935982,19.7,442,26935981,1.6,9247,26935981,34.3,16,26935981,0.1,9393,26935981,34.9,
4,2008,STATEWIDE,371,27272108,1.4,1582,27272108,5.8,3233,27272110,11.9,417,27272108,1.5,8856,27272108,32.5,15,27272108,0.1,9605,27272108,35.2,
5,2009,STATEWIDE,326,27630962,1.2,1510,27630961,5.5,3155,27630962,11.4,390,27630961,1.4,8087,27630962,29.3,10,27630961,0.0,9355,27630962,33.9,
6,2010,STATEWIDE,327,28000783,1.2,1578,28000782,5.6,2851,28000782,10.2,363,28000782,1.3,8511,28000783,30.4,9,28000782,0.0,9200,28000782,32.9,
7,2011,STATEWIDE,344,28396854,1.2,1441,28396854,5.1,2441,28396854,8.6,366,28396854,1.3,8099,28396854,28.5,33,28396854,0.1,8833,28396854,31.1,
8,2012,STATEWIDE,325,28624886,1.1,1420,28624887,5.0,1967,28624886,6.9,322,28624886,1.1,7436,28624887,26.0,28,28624886,0.1,8394,28624886,29.3,
9,2013,STATEWIDE,285,28942185,1.0,1252,28942185,4.3,1784,28942185,6.2,316,28942185,1.1,6500,28942185,22.5,13,28942185,0.0,7690,28942185,26.6,
10,2005,Alameda,18,1102068,1.6,77,1102068,7.0,250,1102068,22.7,17,1102068,1.5,363,1102068,32.9,0,1102068,0.0,377,1102068,34.2,0O0601
11,2006,Alameda,12,1106823,1.1,77,1106823,7.0,232,1106823,21.0,12,1106823,1.1,358,1106823,32.3,1,1106823,0.1,393,1106823,35.5,0O0601
12,2007,Alameda,9,1117973,0.8,77,1117973,6.9,185,1117973,16.5,18,1117973,1.6,379,1117973,33.9,1,1117973,0.1,399,1117973,35.7,0O0601
13,2008,Alameda,20,1136417,1.8,70,1136417,6.2,87,1136418,7.7,17,1136417,1.5,348,1136417,30.6,0,1136417,0.0,351,1136417,30.9,0O0601
14,2009,Alameda,7,1155287,0.6,68,1155287,5.9,82,1155287,7.1,19,1155287,1.6,325,1155287,28.1,1,1155287,0.1,359,1155287,31.1,0O0601
15,2010,Alameda,13,1169910,1.1,66,1169910,5.6,84,1169910,7.2,14,1169910,1.2,391,1169910,33.4,0,1169910,0.0,338,1169910,28.9,0O0601
16,2011,Alameda,20,1186810,1.7,54,1186810,4.6,81,1186810,6.8,13,1186810,1.1,404,1186810,34.0,1,1186810,0.1,385,1186810,32.4,0O0601
17,2012,Alameda,12,1171730,1.0,58,1171730,4.9,60,1171730,5.1,18,1171730,1.5,339,1171730,28.9,1,1171730,0.1,387,1171730,33.0,0O0601
18,2013,Alameda,11,1178894,0.9,45,1178894,3.8,53,1178894,4.5,19,1178894,1.6,307,1178894,26.0,1,1178894,0.1,321,1178894,27.2,0O0601
19,2005,Alpine,0,979,0.0,0,979,0.0,0,979,0.0,0,979,0.0,1,979,102.1,0,979,0.0,0,979,0.0,0O0603
20,2006,Alpine,0,1001,0.0,0,1001,0.0,0,1001,0.0,0,1001,0.0,0,1001,0.0,0,1001,0.0,1,1001,99.9,0O0603
21,2007,Alpine,0,1009,0.0,0,1009,0.0,0,1009,0.0,0,1009,0.0,2,1009,198.2,0,1009,0.0,0,1009,0.0,0O0603
22,2008,Alpine,0,957,0.0,0,957,0.0,0,957,0.0,0,957,0.0,0,957,0.0,0,957,0.0,0,957,0.0,0O0603
23,2009,Alpine,0,947,0.0,0,947,0.0,0,947,0.0,0,947,0.0,0,947,0.0,0,947,0.0,0,947,0.0,0O0603
24,2010,Alpine,0,895,0.0,0,895,0.0,0,895,0.0,0,895,0.0,0,895,0.0,0,895,0.0,0,895,0.0,0O0603
25,2011,Alpine,0,888,0.0,0,888,0.0,0,888,0.0,0,888,0.0,0,888,0.0,0,888,0.0,0,888,0.0,0O0603
26,2012,Alpine,0,935,0.0,0,935,0.0,1,935,107.0,0,935,0.0,0,935,0.0,0,935,0.0,0,935,0.0,0O0603
27,2013,Alpine,0,934,0.0,0,934,0.0,0,934,0.0,0,934,0.0,0,934,0.0,0,934,0.0,0,934,0.0,0O0603
28,2005,Amador,0,31101,0.0,2,31101,6.4,11,31101,35.4,0,31101,0.0,14,31101,45.0,0,31101,0.0,12,31101,38.6,0O0605
29,2006,Amador,0,31460,0.0,1,31460,3.2,9,31460,28.6,0,31460,0.0,23,31460,73.1,0,31460,0.0,13,31460,41.3,0O0605
30,2007,Amador,0,31883,0.0,3,31883,9.4,6,31883,18.8,3,31883,9.4,18,31883,56.5,0,31883,0.0,14,31883,43.9,0O0605
31,2008,Amador,1,31619,3.2,3,31619,9.5,2,31619,6.3,1,31619,3.2,17,31619,53.8,0,31619,0.0,22,31619,69.6,0O0605
32,2009,Amador,1,31769,3.1,2,31769,6.3,4,31769,12.6,0,31769,0.0,16,31769,50.4,0,31769,0.0,26,31769,81.8,0O0605
33,2010,Amador,1,31720,3.2,1,31720,3.2,4,31720,12.6,0,31720,0.0,11,31720,34.7,0,31720,0.0,16,31720,50.4,0O0605
34,2011,Amador,1,31760,3.1,1,31760,3.1,2,31760,6.3,3,31760,9.4,16,31760,50.4,0,31760,0.0,11,31760,34.6,0O0605
