table,seq,column,is_pk,is_fk,id,type,size,width,description
mua,1,id,1,,t03m01,INTEGER,,,
mua,2,objectid,,,c03m01002,INTEGER,3,9,
mua,3,uid,,,c03m01003,INTEGER,7,9,
mua,4,census_key,,,c03m01004,VARCHAR,11,11,
mua,5,mua_mup_id,,,c03m01005,VARCHAR,5,10,
mua,6,site_num,,,c03m01006,INTEGER,4,4,
mua,7,cnty_fips,,,c03m01007,VARCHAR,3,3,
mua,8,county,,,c03m01008,VARCHAR,15,50,
mua,9,name,,,c03m01009,VARCHAR,51,100,
mua,10,alias,,,c03m0100a,VARCHAR,53,100,
mua,11,mssacomp,,,c03m0100b,VARCHAR,7,12,
mua,12,mfw,,,c03m0100c,INTEGER,,4,
mua,13,hmls,,,c03m0100d,INTEGER,,4,
mua,14,lowinc,,,c03m0100e,INTEGER,,4,
mua,15,designatio,,,c03m0100f,VARCHAR,2,5,
mua,16,mssa_id,,,c03m0100g,VARCHAR,8,20,
mua,17,score,,,c03m0100h,REAL,,19,
mua,18,designat_1,,,c03m0100i,DATE,,10,
mua,19,designat_2,,,c03m0100j,VARCHAR,10,10,
mua,20,type,,,c03m0100k,VARCHAR,3,3,
mua,21,geog_type,,,c03m0100l,INTEGER,1,4,
mua,22,geog_check,,,c03m0100m,INTEGER,2,9,
mua,23,shape_leng,,,c03m0100n,REAL,,19,
mua,24,shape_area,,,c03m0100o,REAL,,19,
mua,25,geometry,,,c03m0100p,MULTIPOLYGON,,,
,,,,,,,,,
mup,1,id,1,,t03m02,INTEGER,,,
mup,2,objectid,,,c03m02002,INTEGER,2,9,
mup,3,uid,,,c03m02003,INTEGER,7,9,
mup,4,census_key,,,c03m02004,VARCHAR,11,11,
mup,5,mua_mup_id,,,c03m02005,VARCHAR,5,10,
mup,6,site_num,,,c03m02006,INTEGER,4,4,
mup,7,cnty_fips,,,c03m02007,VARCHAR,3,3,
mup,8,county,,,c03m02008,VARCHAR,14,50,
mup,9,name,,,c03m02009,VARCHAR,60,100,
mup,10,alias,,,c03m0200a,VARCHAR,60,100,
mup,11,mssacomp,,,c03m0200b,VARCHAR,7,12,
mup,12,mfw,,,c03m0200c,INTEGER,1,4,
mup,13,hmls,,,c03m0200d,INTEGER,1,4,
mup,14,lowinc,,,c03m0200e,INTEGER,1,4,
mup,15,designatio,,,c03m0200f,VARCHAR,2,5,
mup,16,mssa_id,,,c03m0200g,VARCHAR,7,20,
mup,17,score,,,c03m0200h,REAL,,19,
mup,18,designat_1,,,c03m0200i,DATE,,10,
mup,19,designat_2,,,c03m0200j,VARCHAR,10,10,
mup,20,type,,,c03m0200k,VARCHAR,3,3,
mup,21,geog_type,,,c03m0200l,INTEGER,1,4,
mup,22,geog_check,,,c03m0200m,INTEGER,1,9,
mup,23,shape_leng,,,c03m0200n,REAL,,19,
mup,24,shape_area,,,c03m0200o,REAL,,19,
mup,25,geometry,,,c03m0200p,MULTIPOLYGON,,,
