table,seq,column,is_pk,is_fk,id,type,size,width,description
zcta_tracts,1,id,1,,t03201,INTEGER,,,
zcta_tracts,2,objectid,,,c03201002,INTEGER,4,9,
zcta_tracts,3,tract,,,c03201003,VARCHAR,7,7,
zcta_tracts,4,state_fips,,,c03201004,VARCHAR,2,2,
zcta_tracts,5,cnty_fips,,,c03201005,VARCHAR,3,3,
zcta_tracts,6,tract_code,,,c03201006,VARCHAR,6,6,
zcta_tracts,7,census_key,,,c03201007,VARCHAR,11,12,
zcta_tracts,8,county,,,c03201008,VARCHAR,15,20,
zcta_tracts,9,tract_id,,,c03201009,VARCHAR,7,8,
zcta_tracts,10,mssa_id,,,c0320100a,VARCHAR,8,10,
zcta_tracts,11,mssa_name,,,c0320100b,VARCHAR,153,160,
zcta_tracts,12,area_sqmi,,,c0320100c,REAL,,19,
zcta_tracts,13,pop,,,c0320100d,INTEGER,5,9,
zcta_tracts,14,pop_civ,,,c0320100e,INTEGER,5,9,
zcta_tracts,15,pop100pov,,,c0320100f,INTEGER,4,9,
zcta_tracts,16,pct100pov,,,c0320100g,REAL,,19,
zcta_tracts,17,pop200pov,,,c0320100h,INTEGER,5,9,
zcta_tracts,18,pct200pov,,,c0320100i,REAL,,19,
zcta_tracts,19,white,,,c0320100j,INTEGER,5,9,
zcta_tracts,20,pct_white,,,c0320100k,REAL,,19,
zcta_tracts,21,nhs_white,,,c0320100l,INTEGER,5,9,
zcta_tracts,22,pct_nhs_wh,,,c0320100m,REAL,,19,
zcta_tracts,23,black,,,c0320100n,INTEGER,4,9,
zcta_tracts,24,pct_black,,,c0320100o,REAL,,19,
zcta_tracts,25,nhs_black,,,c0320100p,INTEGER,4,9,
zcta_tracts,26,pct_nhs_bl,,,c0320100q,REAL,,19,
zcta_tracts,27,asian,,,c0320100r,INTEGER,5,9,
zcta_tracts,28,pct_asian,,,c0320100s,REAL,,19,
zcta_tracts,29,nhs_asian,,,c0320100t,INTEGER,4,9,
zcta_tracts,30,pct_nhs_as,,,c0320100u,REAL,,19,
zcta_tracts,31,amind_esk,,,c0320100v,INTEGER,4,9,
zcta_tracts,32,pct_amind,,,c0320100w,REAL,,19,
zcta_tracts,33,nhs_amind,,,c0320100x,INTEGER,4,9,
zcta_tracts,34,pct_nhs_am,,,c0320100y,REAL,,19,
zcta_tracts,35,islander,,,c0320100z,INTEGER,4,9,
zcta_tracts,36,pct_island,,,c0320100A,REAL,,19,
zcta_tracts,37,nhs_island,,,c0320100B,INTEGER,4,9,
zcta_tracts,38,pct_nhs_is,,,c0320100C,REAL,,19,
zcta_tracts,39,other_race,,,c0320100D,INTEGER,4,9,
zcta_tracts,40,pct_other,,,c0320100E,REAL,,19,
zcta_tracts,41,nhs_other,,,c0320100F,INTEGER,3,9,
zcta_tracts,42,pct_nhs_ot,,,c0320100G,REAL,,19,
zcta_tracts,43,multi_race,,,c0320100H,INTEGER,4,9,
zcta_tracts,44,pct_multi,,,c0320100I,REAL,,19,
zcta_tracts,45,nhs_multi,,,c0320100J,INTEGER,4,9,
zcta_tracts,46,pct_nhs_mu,,,c0320100K,REAL,,19,
zcta_tracts,47,hispanic,,,c0320100L,INTEGER,5,9,
zcta_tracts,48,pct_hspnc,,,c0320100M,REAL,,19,
zcta_tracts,49,age_under5,,,c0320100N,INTEGER,4,9,
zcta_tracts,50,pct_under5,,,c0320100O,REAL,,19,
zcta_tracts,51,age_undr18,,,c0320100P,INTEGER,4,9,
zcta_tracts,52,pct_undr18,,,c0320100Q,REAL,,19,
zcta_tracts,53,age_18_64,,,c0320100R,INTEGER,5,9,
zcta_tracts,54,pct_18_64,,,c0320100S,REAL,,19,
zcta_tracts,55,age_65over,,,c0320100T,INTEGER,4,9,
zcta_tracts,56,pct_65over,,,c0320100U,REAL,,19,
zcta_tracts,57,eld_ratio,,,c0320100V,REAL,,19,
zcta_tracts,58,yth_ratio,,,c0320100W,REAL,,19,
zcta_tracts,59,totalpover,,,c0320100X,INTEGER,5,9,
zcta_tracts,60,shape_leng,,,c0320100Y,REAL,,19,
zcta_tracts,61,shape_area,,,c0320100Z,REAL,,19,
zcta_tracts,62,geometry,,,c03201010,MULTIPOLYGON,,,
,,,,,,,,,
zcta,1,id,1,,t03202,INTEGER,,,
zcta,2,objectid,,,c03202002,INTEGER,4,10,
zcta,3,cnty_fips,,,c03202003,VARCHAR,,3,
zcta,4,county,,,c03202004,VARCHAR,,20,
zcta,5,tract,,,c03202005,VARCHAR,,7,
zcta,6,tract_id,,,c03202006,VARCHAR,,8,
zcta,7,census_key,,,c03202007,VARCHAR,,12,
zcta,8,zcta,,,c03202008,VARCHAR,5,5,
zcta,9,zcta_key,,,c03202009,VARCHAR,7,7,
zcta,10,latitude,,,c0320200a,REAL,,19,
zcta,11,longitude,,,c0320200b,REAL,,19,
zcta,12,tot_pop,,,c0320200c,INTEGER,6,10,
zcta,13,age_under5,,,c0320200d,INTEGER,5,10,
zcta,14,age_5to9,,,c0320200e,INTEGER,4,10,
zcta,15,age_10to14,,,c0320200f,INTEGER,4,10,
zcta,16,age_15to19,,,c0320200g,INTEGER,5,10,
zcta,17,age_20to24,,,c0320200h,INTEGER,5,10,
zcta,18,age_25to29,,,c0320200i,INTEGER,4,10,
zcta,19,age_30to34,,,c0320200j,INTEGER,4,10,
zcta,20,age_35to39,,,c0320200k,INTEGER,4,10,
zcta,21,age_40to44,,,c0320200l,INTEGER,4,10,
zcta,22,age_45to49,,,c0320200m,INTEGER,4,10,
zcta,23,age_50to54,,,c0320200n,INTEGER,4,10,
zcta,24,age_55to59,,,c0320200o,INTEGER,4,10,
zcta,25,age_60to64,,,c0320200p,INTEGER,4,10,
zcta,26,age_65to69,,,c0320200q,INTEGER,4,10,
zcta,27,age_70to74,,,c0320200r,INTEGER,4,10,
zcta,28,age_75to79,,,c0320200s,INTEGER,4,10,
zcta,29,age_80to84,,,c0320200t,INTEGER,4,10,
zcta,30,age_85_ove,,,c0320200u,INTEGER,4,10,
zcta,31,age16_over,,,c0320200v,INTEGER,5,10,
zcta,32,age18_over,,,c0320200w,INTEGER,5,10,
zcta,33,age21_over,,,c0320200x,INTEGER,5,10,
zcta,34,age62_over,,,c0320200y,INTEGER,5,10,
zcta,35,age65_over,,,c0320200z,INTEGER,5,10,
zcta,36,male,,,c0320200A,INTEGER,5,10,
zcta,37,female,,,c0320200B,INTEGER,5,10,
zcta,38,age_median,,,c0320200C,REAL,,19,
zcta,39,age_medi_1,,,c0320200D,REAL,,19,
zcta,40,age_medi_2,,,c0320200E,REAL,,19,
zcta,41,one_race,,,c0320200F,INTEGER,6,10,
zcta,42,white,,,c0320200G,INTEGER,5,10,
zcta,43,black_afam,,,c0320200H,INTEGER,5,10,
zcta,44,amind_alan,,,c0320200I,INTEGER,4,10,
zcta,45,asian,,,c0320200J,INTEGER,5,10,
zcta,46,nathaw_isl,,,c0320200K,INTEGER,4,10,
zcta,47,other_race,,,c0320200L,INTEGER,5,10,
zcta,48,multi_race,,,c0320200M,INTEGER,4,10,
zcta,49,hispanic_l,,,c0320200N,INTEGER,5,10,
zcta,50,non_hisp_l,,,c0320200O,INTEGER,5,10,
zcta,51,white_nhl,,,c0320200P,INTEGER,5,10,
zcta,52,black_af_1,,,c0320200Q,INTEGER,5,10,
zcta,53,amind_al_1,,,c0320200R,INTEGER,4,10,
zcta,54,asian_nhl,,,c0320200S,INTEGER,5,10,
zcta,55,nathaw_i_1,,,c0320200T,INTEGER,4,10,
zcta,56,other_nhl,,,c0320200U,INTEGER,3,10,
zcta,57,multi_ra_1,,,c0320200V,INTEGER,4,10,
zcta,58,tot_in_hou,,,c0320200W,INTEGER,6,10,
zcta,59,tot_in_gc,,,c0320200X,INTEGER,5,10,
zcta,60,gc_inst,,,c0320200Y,INTEGER,5,10,
zcta,61,gc_noninst,,,c0320200Z,INTEGER,5,10,
zcta,62,gc_correct,,,c03202010,INTEGER,5,10,
zcta,63,gc_juv,,,c03202011,INTEGER,3,10,
zcta,64,gc_nurs,,,c03202012,INTEGER,3,10,
zcta,65,gc_other,,,c03202013,INTEGER,4,10,
zcta,66,hh_total,,,c03202014,INTEGER,5,10,
zcta,67,hh_family,,,c03202015,INTEGER,5,10,
zcta,68,hh_nonfaml,,,c03202016,INTEGER,5,10,
zcta,69,hh_nonfami,,,c03202017,INTEGER,5,10,
zcta,70,hh_nonfa_1,,,c03202018,INTEGER,4,10,
zcta,71,hh_nonfa_2,,,c03202019,INTEGER,4,10,
zcta,72,hh_nonfa_3,,,c0320201a,INTEGER,4,10,
zcta,73,hh_nonfa_4,,,c0320201b,INTEGER,4,10,
zcta,74,hh_with_un,,,c0320201c,INTEGER,5,10,
zcta,75,hh_with_65,,,c0320201d,INTEGER,4,10,
zcta,76,hu_total,,,c0320201e,INTEGER,5,10,
zcta,77,hu_occ,,,c0320201f,INTEGER,5,10,
zcta,78,hu_vac,,,c0320201g,INTEGER,4,10,
zcta,79,hu_vac_ren,,,c0320201h,INTEGER,4,10,
zcta,80,hu_vac_sea,,,c0320201i,INTEGER,4,10,
zcta,81,hu_occ_own,,,c0320201j,INTEGER,5,10,
zcta,82,hu_occ_o_1,,,c0320201k,INTEGER,5,10,
zcta,83,hu_occ_ren,,,c0320201l,INTEGER,5,10,
zcta,84,hu_occ_r_1,,,c0320201m,INTEGER,5,10,
zcta,85,shape_area,,,c0320201n,REAL,,19,
zcta,86,shape_len,,,c0320201o,REAL,,19,
zcta,87,geometry,,,c0320201p,MULTIPOLYGON,,,
